1474.035000,3.2440E-007,1474.035000,1.2020E-007,1474.035000,-2.2850E-008,1474.035000,3.1410E-007,1474.035000,1.3380E-008,1474.035000,-1.2430E-007,1474.035000,-1.1510E-007,1474.035000,1.1220E-007,1474.035000,1.0460E-007,1474.035000,-3.5810E-008
1474.050000,4.6940E-007,1474.050000,2.6340E-007,1474.050000,2.8440E-007,1474.050000,2.5310E-008,1474.050000,3.2990E-007,1474.050000,2.9130E-007,1474.050000,2.9630E-008,1474.050000,-2.8560E-007,1474.050000,-4.2310E-007,1474.050000,-2.7940E-007
1474.065000,2.1760E-007,1474.065000,1.9270E-007,1474.065000,1.5150E-007,1474.065000,2.7450E-007,1474.065000,7.7000E-008,1474.065000,4.5910E-008,1474.065000,3.7470E-008,1474.065000,2.6280E-007,1474.065000,1.9060E-007,1474.065000,-1.1690E-007
1474.080000,1.8740E-008,1474.080000,6.7890E-007,1474.080000,4.8390E-008,1474.080000,6.3840E-009,1474.080000,-3.0060E-008,1474.080000,-2.4710E-009,1474.080000,-8.7720E-008,1474.080000,2.8080E-007,1474.080000,1.1490E-007,1474.080000,2.0430E-007
1474.095000,5.6420E-007,1474.095000,-2.5840E-007,1474.095000,8.3480E-008,1474.095000,6.7800E-008,1474.095000,1.9100E-007,1474.095000,-3.8940E-008,1474.095000,-5.9150E-008,1474.095000,1.7310E-008,1474.095000,4.5350E-008,1474.095000,2.2510E-007
1474.110000,1.8140E-008,1474.110000,-3.4610E-008,1474.110000,2.5620E-007,1474.110000,3.0630E-007,1474.110000,-2.0030E-007,1474.110000,1.6070E-007,1474.110000,1.7250E-007,1474.110000,-1.5040E-007,1474.110000,2.8290E-007,1474.110000,-1.6280E-008
1474.125000,1.3410E-007,1474.125000,-5.1530E-009,1474.125000,1.0860E-007,1474.125000,8.5540E-008,1474.125000,9.8940E-009,1474.125000,-5.3090E-007,1474.125000,1.4610E-007,1474.125000,7.5240E-008,1474.125000,-1.8550E-007,1474.125000,2.8630E-008
1474.140000,8.6780E-008,1474.140000,-2.6790E-008,1474.140000,-1.1130E-008,1474.140000,-1.8810E-007,1474.140000,2.2100E-007,1474.140000,-2.2250E-008,1474.140000,-1.5520E-007,1474.140000,8.2030E-008,1474.140000,-1.7080E-007,1474.140000,-1.0340E-007
1474.155000,2.5840E-007,1474.155000,1.1100E-007,1474.155000,2.2230E-007,1474.155000,3.7220E-007,1474.155000,-1.2570E-008,1474.155000,3.8130E-007,1474.155000,-1.2360E-009,1474.155000,9.6460E-008,1474.155000,9.7290E-008,1474.155000,1.8420E-007
1474.170000,-1.1770E-007,1474.170000,-5.6890E-008,1474.170000,-3.0610E-007,1474.170000,-2.7360E-007,1474.170000,2.7440E-007,1474.170000,-4.6300E-007,1474.170000,3.0490E-008,1474.170000,2.1940E-007,1474.170000,-1.7060E-007,1474.170000,-4.9250E-008
1474.185000,1.9120E-007,1474.185000,4.3330E-007,1474.185000,4.8090E-007,1474.185000,3.4210E-007,1474.185000,-4.8380E-007,1474.185000,2.4610E-007,1474.185000,9.2760E-008,1474.185000,-4.5810E-007,1474.185000,2.4070E-007,1474.185000,-1.2860E-007
1474.200000,1.3350E-007,1474.200000,-6.6160E-008,1474.200000,-4.4800E-007,1474.200000,-5.9350E-008,1474.200000,2.8030E-008,1474.200000,4.2030E-008,1474.200000,-3.5180E-007,1474.200000,-3.1460E-007,1474.200000,-2.6170E-008,1474.200000,7.9140E-008
1474.215000,-2.2870E-008,1474.215000,8.3680E-008,1474.215000,5.6720E-007,1474.215000,2.0170E-007,1474.215000,2.5400E-007,1474.215000,-1.1620E-007,1474.215000,1.2550E-007,1474.215000,-3.0920E-009,1474.215000,2.8940E-007,1474.215000,-1.3310E-007
1474.230000,4.1570E-007,1474.230000,5.3790E-007,1474.230000,-8.2650E-008,1474.230000,-1.1150E-007,1474.230000,-2.4510E-007,1474.230000,1.2280E-007,1474.230000,7.5640E-008,1474.230000,-2.0890E-007,1474.230000,-2.8250E-007,1474.230000,1.4300E-007
1474.245000,5.3870E-007,1474.245000,-2.4930E-007,1474.245000,3.5040E-008,1474.245000,2.7280E-007,1474.245000,-7.1720E-008,1474.245000,-1.1130E-008,1474.245000,2.7640E-007,1474.245000,-7.1520E-008,1474.245000,1.6360E-007,1474.245000,-3.3970E-007
1474.260000,-1.4810E-007,1474.260000,-1.7910E-007,1474.260000,3.8050E-007,1474.260000,-8.7380E-008,1474.260000,4.1390E-007,1474.260000,-7.7080E-008,1474.260000,6.7800E-008,1474.260000,-1.2510E-007,1474.260000,-3.2980E-009,1474.260000,-5.7710E-009
1474.275000,1.8570E-007,1474.275000,5.0640E-007,1474.275000,2.0610E-007,1474.275000,3.6700E-007,1474.275000,-1.6400E-007,1474.275000,-4.5120E-008,1474.275000,-1.4810E-007,1474.275000,1.2360E-007,1474.275000,1.8140E-008,1474.275000,3.4250E-007
1474.290000,3.2490E-007,1474.290000,-8.3680E-008,1474.290000,-1.7560E-007,1474.290000,-1.4420E-007,1474.290000,-1.2780E-008,1474.290000,7.1320E-008,1474.290000,2.1240E-007,1474.290000,-3.6290E-007,1474.290000,4.3280E-008,1474.290000,-4.1870E-007
1474.305000,-1.1930E-007,1474.305000,1.1830E-007,1474.305000,-5.2140E-008,1474.305000,7.8330E-008,1474.305000,-4.0190E-008,1474.305000,-2.3010E-007,1474.305000,-4.0370E-007,1474.305000,7.9970E-008,1474.305000,-1.8550E-009,1474.305000,-1.4590E-007
1474.320000,-6.5330E-008,1474.320000,-3.4820E-008,1474.320000,5.4400E-008,1474.320000,-6.1840E-009,1474.320000,-1.2360E-008,1474.320000,1.5540E-007,1474.320000,2.2910E-007,1474.320000,2.9160E-007,1474.320000,-3.1640E-007,1474.320000,9.6880E-008
1474.335000,-3.5440E-008,1474.335000,8.2450E-009,1474.335000,-1.8160E-007,1474.335000,-1.2160E-007,1474.335000,2.9660E-008,1474.335000,-2.3900E-007,1474.335000,-6.1620E-008,1474.335000,5.5030E-008,1474.335000,2.5940E-007,1474.335000,-2.6050E-007
1474.350000,1.6360E-007,1474.350000,1.6110E-007,1474.350000,4.8440E-008,1474.350000,-1.1540E-008,1474.350000,-1.6650E-007,1474.350000,1.0940E-007,1474.350000,-6.3070E-008,1474.350000,-4.8480E-007,1474.350000,-9.3570E-008,1474.350000,4.0440E-007
1474.365000,-3.8920E-007,1474.365000,-3.5240E-008,1474.365000,5.8120E-007,1474.365000,1.3950E-007,1474.365000,1.9210E-007,1474.365000,3.0920E-008,1474.365000,-2.3700E-008,1474.365000,2.1200E-007,1474.365000,2.0430E-007,1474.365000,-3.3910E-007
1474.380000,4.9390E-007,1474.380000,2.5220E-007,1474.380000,-3.6110E-007,1474.380000,-1.7330E-007,1474.380000,7.5640E-008,1474.380000,9.2960E-008,1474.380000,7.5440E-008,1474.380000,-1.9640E-007,1474.380000,-1.4570E-007,1474.380000,1.2670E-007
1474.395000,-1.4090E-007,1474.395000,4.2070E-007,1474.395000,1.7210E-007,1474.395000,3.6390E-007,1474.395000,-2.7840E-007,1474.395000,2.8030E-008,1474.395000,-3.1640E-007,1474.395000,2.9380E-007,1474.395000,-1.2360E-008,1474.395000,1.5040E-008
1474.410000,2.3320E-007,1474.410000,4.2460E-008,1474.410000,-2.7200E-008,1474.410000,-3.2150E-008,1474.410000,2.1440E-007,1474.410000,3.0960E-007,1474.410000,1.0800E-007,1474.410000,1.6980E-007,1474.410000,-9.8110E-008,1474.410000,-2.9400E-007
1474.425000,3.1910E-007,1474.425000,-2.8110E-007,1474.425000,1.9830E-007,1474.425000,1.6320E-007,1474.425000,3.1320E-008,1474.425000,1.6280E-008,1474.425000,3.4190E-007,1474.425000,8.2450E-010,1474.425000,1.0530E-007,1474.425000,4.0190E-008
1474.440000,2.4330E-007,1474.440000,-2.1360E-007,1474.440000,-2.6710E-007,1474.440000,1.0220E-007,1474.440000,-1.4010E-007,1474.440000,-3.0490E-008,1474.440000,8.1420E-008,1474.440000,1.9410E-007,1474.440000,1.2240E-007,1474.440000,1.0240E-007
1474.455000,1.8690E-007,1474.455000,8.1440E-007,1474.455000,-3.4070E-007,1474.455000,7.0890E-008,1474.455000,1.9800E-007,1474.455000,-6.1840E-010,1474.455000,-2.5760E-008,1474.455000,-4.9550E-007,1474.455000,7.0080E-009,1474.455000,1.6920E-007
1474.470000,3.1850E-007,1474.470000,5.7090E-008,1474.470000,2.0950E-007,1474.470000,-1.6860E-007,1474.470000,-4.5750E-008,1474.470000,4.4720E-008,1474.470000,9.7690E-008,1474.470000,6.1920E-007,1474.470000,-1.2550E-007,1474.470000,4.3890E-008
1474.485000,1.0160E-007,1474.485000,1.2610E-007,1474.485000,-5.1930E-008,1474.485000,-2.1150E-007,1474.485000,2.6330E-007,1474.485000,-1.9560E-007,1474.485000,3.8130E-007,1474.485000,-5.7980E-007,1474.485000,-1.3520E-007,1474.485000,-1.6240E-007
1474.500000,1.7870E-007,1474.500000,4.9040E-008,1474.500000,2.3300E-007,1474.500000,4.1990E-007,1474.500000,-3.3140E-007,1474.500000,-8.6980E-008,1474.500000,-1.0030E-007,1474.500000,5.5920E-007,1474.500000,2.4990E-007,1474.500000,-8.9440E-008
1474.515000,7.0690E-008,1474.515000,8.5120E-008,1474.515000,-1.8770E-007,1474.515000,-1.8860E-007,1474.515000,1.6490E-007,1474.515000,5.5430E-008,1474.515000,-3.6390E-007,1474.515000,1.0490E-007,1474.515000,-2.1050E-007,1474.515000,9.6880E-008
1474.530000,1.4300E-007,1474.530000,5.8520E-008,1474.530000,5.2300E-007,1474.530000,3.9930E-007,1474.530000,-1.1700E-007,1474.530000,-1.3480E-007,1474.530000,2.2930E-007,1474.530000,-2.7340E-007,1474.530000,1.8420E-007,1474.530000,-6.4100E-008
1474.545000,-5.3170E-008,1474.545000,1.5330E-007,1474.545000,-2.3900E-007,1474.545000,-2.5520E-007,1474.545000,3.9710E-007,1474.545000,4.2860E-008,1474.545000,-1.8220E-007,1474.545000,-1.2690E-007,1474.545000,-1.0530E-007,1474.545000,3.5240E-008
1474.560000,4.9710E-007,1474.560000,1.3290E-007,1474.560000,1.3000E-007,1474.560000,3.4250E-007,1474.560000,-2.1150E-007,1474.560000,-8.2450E-009,1474.560000,-5.5860E-008,1474.560000,5.1930E-008,1474.560000,7.6870E-008,1474.560000,8.4920E-008
1474.575000,-3.3180E-008,1474.575000,-6.0380E-008,1474.575000,-5.8750E-008,1474.575000,-1.8960E-008,1474.575000,1.7930E-007,1474.575000,-3.7160E-007,1474.575000,4.0230E-007,1474.575000,-1.2840E-007,1474.575000,-7.0080E-009,1474.575000,-2.5820E-007
